year,period,periodName,latest,value,footnotes,calculations
2017,M06,June,,244.163,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.1', '6': '0.6', '12': '1.6'}}"
2017,M05,May,,244.004,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.0', '6': '0.8', '12': '1.9'}}"
2017,M04,April,,244.193,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.2', '6': '1.0', '12': '2.2'}}"
2017,M03,March,,243.892,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.5', '6': '1.1', '12': '2.4'}}"
2017,M02,February,,244.006,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.8', '6': '1.4', '12': '2.8'}}"
2017,M01,January,,243.618,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.8', '6': '1.5', '12': '2.5'}}"
2016,M12,December,,242.637,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.6', '6': '1.0', '12': '2.1'}}"
2016,M11,November,,242.026,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '1.0', '12': '1.7'}}"
2016,M10,October,,241.741,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.7', '6': '1.2', '12': '1.7'}}"
2016,M09,September,,241.176,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.4', '6': '1.3', '12': '1.5'}}"
2016,M08,August,,240.545,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.4', '6': '1.4', '12': '1.1'}}"
2016,M07,July,,240.101,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.5', '6': '1.0', '12': '0.9'}}"
2016,M06,June,,240.222,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.9', '6': '1.0', '12': '1.1'}}"
2016,M05,May,,239.557,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.9', '6': '0.6', '12': '1.1'}}"
2016,M04,April,,238.992,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.6', '6': '0.5', '12': '1.2'}}"
2016,M03,March,,238.080,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.1', '6': '0.2', '12': '0.9'}}"
2016,M02,February,,237.336,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '-0.3', '6': '-0.3', '12': '0.8'}}"
2016,M01,January,,237.652,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '-0.2', '12': '1.2'}}"
2015,M12,December,,237.761,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.1', '6': '0.0', '12': '0.6'}}"
2015,M11,November,,238.017,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.0', '6': '0.4', '12': '0.4'}}"
2015,M10,October,,237.733,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '-0.1', '6': '0.6', '12': '0.1'}}"
2015,M09,September,,237.498,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-0.1', '6': '0.6', '12': '0.0'}}"
