year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2016,M04,April,,5.1,[{}],"{'net_changes': {'1': '0.1', '3': '0.3', '6': '0.1', '12': '-0.3'}, 'pct_changes': {'1': '2.0', '3': '6.3', '6': '2.0', '12': '-5.6'}}",2016-04-01,0.1,0.3,0.1,-0.3
2016,M03,March,,5.0,[{}],"{'net_changes': {'1': '0.1', '3': '0.0', '6': '0.0', '12': '-0.4'}, 'pct_changes': {'1': '2.0', '3': '0.0', '6': '0.0', '12': '-7.4'}}",2016-03-01,0.1,0.0,0.0,-0.4
2016,M02,February,,4.9,[{}],"{'net_changes': {'1': '0.1', '3': '-0.2', '6': '-0.2', '12': '-0.6'}, 'pct_changes': {'1': '2.1', '3': '-3.9', '6': '-3.9', '12': '-10.9'}}",2016-02-01,0.1,-0.2,-0.2,-0.6
2016,M01,January,,4.8,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.2', '6': '-0.4', '12': '-0.9'}, 'pct_changes': {'1': '-4.0', '3': '-4.0', '6': '-7.7', '12': '-15.8'}}",2016-01-01,-0.2,-0.2,-0.4,-0.9
2015,M12,December,,5.0,[{}],"{'net_changes': {'1': '-0.1', '3': '0.0', '6': '-0.3', '12': '-0.6'}, 'pct_changes': {'1': '-2.0', '3': '0.0', '6': '-5.7', '12': '-10.7'}}",2015-12-01,-0.1,0.0,-0.3,-0.6
2015,M11,November,,5.1,[{}],"{'net_changes': {'1': '0.1', '3': '0.0', '6': '-0.5', '12': '-0.7'}, 'pct_changes': {'1': '2.0', '3': '0.0', '6': '-8.9', '12': '-12.1'}}",2015-11-01,0.1,0.0,-0.5,-0.7
2015,M10,October,,5.0,[{}],"{'net_changes': {'1': '0.0', '3': '-0.2', '6': '-0.4', '12': '-0.7'}, 'pct_changes': {'1': '0.0', '3': '-3.8', '6': '-7.4', '12': '-12.3'}}",2015-10-01,0.0,-0.2,-0.4,-0.7
2015,M09,September,,5.0,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.3', '6': '-0.4', '12': '-0.9'}, 'pct_changes': {'1': '-2.0', '3': '-5.7', '6': '-7.4', '12': '-15.3'}}",2015-09-01,-0.1,-0.3,-0.4,-0.9
2015,M08,August,,5.1,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.5', '6': '-0.4', '12': '-1.0'}, 'pct_changes': {'1': '-1.9', '3': '-8.9', '6': '-7.3', '12': '-16.4'}}",2015-08-01,-0.1,-0.5,-0.4,-1.0
2015,M07,July,,5.2,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.2', '6': '-0.5', '12': '-1.0'}, 'pct_changes': {'1': '-1.9', '3': '-3.7', '6': '-8.8', '12': '-16.1'}}",2015-07-01,-0.1,-0.2,-0.5,-1.0
2015,M06,June,,5.3,[{}],"{'net_changes': {'1': '-0.3', '3': '-0.1', '6': '-0.3', '12': '-0.8'}, 'pct_changes': {'1': '-5.4', '3': '-1.9', '6': '-5.4', '12': '-13.1'}}",2015-06-01,-0.3,-0.1,-0.3,-0.8
