year,period,periodName,latest,value,footnotes,calculations
2018,M01,January,,192.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.3', '6': '2.8', '12': '3.8'}}"
2017,M12,December,,191.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.9', '6': '2.0', '12': '4.0'}}"
2017,M11,November,,191.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.5', '6': '2.1', '12': '4.4'}}"
2017,M10,October,,190.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.5', '6': '1.4', '12': '3.5'}}"
2017,M09,September,,189.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '1.1', '6': '1.6', '12': '3.6'}}"
2017,M08,August,,188.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '0.6', '6': '1.2', '12': '3.2'}}"
2017,M07,July,,187.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-0.2', '6': '0.9', '12': '2.1'}}"
2017,M06,June,,187.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '2.0', '12': '2.2'}}"
2017,M05,May,,187.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '0.6', '6': '2.2', '12': '3.0'}}"
2017,M04,April,,187.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.1', '6': '2.1', '12': '3.9'}}"
2017,M03,March,,186.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.5', '6': '2.0', '12': '4.1'}}"
2017,M02,February,,186.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.6', '6': '2.0', '12': '4.2'}}"
2017,M01,January,,185.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '1.0', '6': '1.2', '12': '3.3'}}"
2016,M12,December,,183.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.5', '6': '0.2', '12': '1.7'}}"
2016,M11,November,,183.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '0.4', '6': '0.7', '12': '0.2'}}"
2016,M10,October,,183.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.2', '6': '1.8', '12': '0.0'}}"
2016,M09,September,,183.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.3', '6': '2.1', '12': '-0.7'}}"
2016,M08,August,,182.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.5', '3': '0.3', '6': '2.1', '12': '-2.4'}}"
2016,M07,July,,183.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '1.6', '6': '2.1', '12': '-2.7'}}"
2016,M06,June,,183.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '2.4', '6': '1.5', '12': '-2.8'}}"
2016,M05,May,,181.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '1.8', '6': '-0.5', '12': '-3.3'}}"
2016,M04,April,,180.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '0.4', '6': '-1.7', '12': '-2.8'}}"
2016,M03,March,,179.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.8', '6': '-2.7', '12': '-3.7'}}"
2016,M02,February,,178.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.6', '3': '-2.3', '6': '-4.4', '12': '-3.6'}}"
2016,M01,January,,179.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.6', '3': '-2.2', '6': '-4.7', '12': '-2.9'}}"
2015,M12,December,,180.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.1', '3': '-1.9', '6': '-4.3', '12': '-4.4'}}"
2015,M11,November,,182.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-2.2', '6': '-2.8', '12': '-5.1'}}"
2015,M10,October,,183.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '-2.5', '6': '-1.1', '12': '-5.7'}}"
2015,M09,September,,184.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.4', '3': '-2.4', '6': '-1.0', '12': '-6.4'}}"
2015,M08,August,,187.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.8', '3': '-0.6', '6': '0.9', '12': '-5.3'}}"
2015,M07,July,,188.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '1.5', '6': '1.9', '12': '-4.5'}}"
2015,M06,June,,188.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.5', '6': '-0.1', '12': '-4.2'}}"
2015,M05,May,,188.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.3', '3': '1.5', '6': '-2.3', '12': '-4.6'}}"
2015,M04,April,,185.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '0.4', '6': '-4.7', '12': '-6.0'}}"
2015,M03,March,,186.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-1.5', '6': '-5.4', '12': '-5.1'}}"
